unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
2604346,HJ200978,2003-02-23 07:27:01.000000 UTC,003XX S JEFFERSON ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,ALLEY,false,false,111,1,2,28,02,1172382.0,1898709.0,2003,2018-02-28 03:56:25.000000 UTC,41.877502477,-87.642520263,"(41.877502477, -87.642520263)"
1668915,G456274,2001-07-26 02:30:00.000000 UTC,002XX S CANAL ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,,,02,1173132.0,1899349.0,2001,2015-08-17 03:03:40.000000 UTC,41.879242081,-87.639747498,"(41.879242081, -87.639747498)"
12524528,JE424952,2021-10-27 10:45:00.000000 UTC,0000X W RANDOLPH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,111,1,42,32,02,1176102.0,1901284.0,2021,2021-11-03 03:42:44.000000 UTC,41.884485451,-87.628783943,"(41.884485451, -87.628783943)"
9797558,HX446760,2013-09-23 10:00:00.000000 UTC,0000X E WACKER DR,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,111,1,42,32,02,1176971.0,1902537.0,2013,2018-02-10 03:50:01.000000 UTC,41.887904127,-87.625554948,"(41.887904127, -87.625554948)"
11308464,JB254831,2018-04-28 08:30:00.000000 UTC,002XX N STATE ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,111,1,42,32,02,1176327.0,1901797.0,2018,2018-05-10 03:46:13.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
6121243,HP213832,2008-03-08 02:30:00.000000 UTC,006XX W MADISON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,111,1,42,28,02,1172208.0,1900286.0,2008,2018-02-28 03:56:25.000000 UTC,41.881833712,-87.643112572,"(41.881833712, -87.643112572)"
8598479,HV270259,2012-05-02 08:00:00.000000 UTC,0000X W RANDOLPH ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,CTA TRAIN,false,false,111,1,42,32,03,1176212.0,1901286.0,2012,2016-02-04 06:33:39.000000 UTC,41.88448846,-87.628379953,"(41.88448846, -87.628379953)"
11469374,JB453674,2018-09-27 08:11:00.000000 UTC,001XX N MICHIGAN AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,RESTAURANT,false,false,111,1,42,32,03,1177270.0,1901551.0,2018,2018-10-11 03:57:17.000000 UTC,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
13269458,JG495269,2023-11-07 02:50:00.000000 UTC,001XX N MICHIGAN AVE,031A,ROBBERY,ARMED - HANDGUN,BANK,false,false,111,1,34,32,03,1177270.0,1901551.0,2023,2023-11-15 03:42:18.000000 UTC,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
4979986,HM590589,2006-09-09 04:00:00.000000 UTC,007XX W JACKSON BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,111,1,2,28,03,1171812.0,1898879.0,2006,2018-02-28 03:56:25.000000 UTC,41.877981539,-87.644608125,"(41.877981539, -87.644608125)"
13227018,JG442858,2023-09-28 05:20:00.000000 UTC,002XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,111,1,42,32,03,1176327.0,1901797.0,2023,2023-10-06 03:43:01.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
3301218,HK334613,2004-04-26 12:40:00.000000 UTC,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,111,1,2,28,03,1173178.0,1899203.0,2004,2018-02-10 03:50:01.000000 UTC,41.878840427,-87.639582928,"(41.878840427, -87.639582928)"
10818027,JA118536,2017-01-16 06:30:00.000000 UTC,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,false,false,111,1,42,32,03,1176330.0,1901649.0,2017,2018-02-10 03:50:01.000000 UTC,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12800866,JF364797,2022-08-20 01:00:00.000000 UTC,0000X E LAKE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,111,1,42,32,03,1176441.0,1901747.0,2022,2023-01-03 03:40:27.000000 UTC,41.885748304,-87.627525121,"(41.885748304, -87.627525121)"
4328208,HL631996,2005-09-24 02:45:00.000000 UTC,001XX S WACKER DR,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,111,1,2,32,03,1173883.0,1899742.0,2005,2018-02-28 03:56:25.000000 UTC,41.88030381,-87.636978269,"(41.88030381, -87.636978269)"
11978050,JD147695,2020-02-10 08:00:00.000000 UTC,0000X E WACKER DR,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,111,1,42,32,03,1176939.0,1902570.0,2020,2020-02-17 03:40:54.000000 UTC,41.887995405,-87.625671462,"(41.887995405, -87.625671462)"
